event_date,event_time,job_number,host_name,city,state,venue,topic,registration_max,fulfillment_percent,net_registrants,gross_registrants,fb_registrants,fb_cpr,attended_hh,walk_ins,attendance_rate,cpa,marketing_start_date,fb_days_running,fb_impressions,cpm,fb_reach,broker_dealer_account,ria_account,venue_type,venue_image_allowed,venue_disclosure_needed
2024-10-21,11:00:00,DN-024680,Christian Gerard Beiter,Plant City,FL,Hillsborough Community College - Plant City Campus,estate_planning_567,36,0.03,1,3,3,18.53,1,0,0.33,150.07,2024-10-02,11.0,56259,22.73,28800,"J.W. Cole Fi0ncial, Inc.","J.W. Cole Advisors, Inc.",Community College,True,True
2023-03-22,11:00:00,DN-018399,Matthew Seppanen,Park City,UT,Park City Library,taxes_in_retirement_567,24,0.21,5,7,4,62.43,2,0,0.29,182.1,2023-03-06,8.0,22555,41.52,24400,,Newpark Wealth Ma0gement,Library,True,True
2023-09-28,18:00:00,DN-020159,Tyler Joseph Silverthorn,Bloomfield Hills,MI,Bloomfield Hills Schools - Booth Center,taxes_in_retirement_567,30,0.17,5,8,4,163.69,2,0,0.25,379.88,2023-09-11,11.0,33626,38.94,97400,Cetera Advisor Networks LLC,"CWM, LLC (Carson Wealth Ma0gement Group)",Public Schools,True,True
2023-09-19,11:00:00,DN-020159,Tyler Joseph Silverthorn,Bloomfield Hills,MI,Bloomfield Hills Schools - Booth Center,taxes_in_retirement_567,30,0.23,7,8,4,163.69,5,0,0.63,151.95,2023-09-11,11.0,33626,38.94,97400,Cetera Advisor Networks LLC,"CWM, LLC (Carson Wealth Ma0gement Group)",Public Schools,True,True
2023-09-19,18:00:00,DN-020560,Shea Swenson,Mo0,UT,Mo0 City Community Center,estate_planning_567,24,0.17,4,4,4,70.59,4,0,1.0,70.59,2023-09-07,11.0,38815,38.19,10100,,,Community Center,True,True
2023-12-07,18:00:00,DN-020712,Curtis Gordon Macomber,Ocean Pines,MD,Ocean Pines Community Center,taxes_in_retirement_567,24,0.25,6,7,4,82.04,3,0,0.43,156.11,2023-11-21,12.0,42358,36.8,53600,,"Brookstone Wealth Advisors, LLC",Community Center,True,True
2023-05-15,18:30:00,DN-018057,Shea Swenson,Bountiful,UT,South Davis Recreation Center,taxes_in_retirement_567,24,0.17,4,4,4,79.31,1,0,0.25,303.45,2023-05-01,12.0,48581,35.92,29700,,,Recreation Center,True,True
2024-03-07,18:00:00,DN-022549,Kurt E. Stahl,Lakewood Ranch,FL,Lakewood Ranch Town Hall,taxes_in_retirement_567,30,0.27,8,10,4,95.07,6,0,0.6,92.54,2024-02-20,10.0,37245,35.74,67000,,"AE Wealth Ma0gement, LLC",Chamber of Commerce,True,True
2023-05-23,11:00:00,DN-020194,Paul M. Bailley,Greenville,SC,Furman University - Younts Conference Center,taxes_in_retirement_567,36,0.17,6,7,4,127.25,3,0,0.43,348.67,2023-05-10,8.0,28940,35.18,35400,,Regal Investment Advisors LLC,Business/Conference Center,True,True
2023-10-19,18:00:00,DN-020848,Marcus George Warren,Louisville,KY,Flash Cube Building (Hurstbourne Place),taxes_in_retirement_567,36,0.11,4,4,4,192.71,0,0,0.0,,2023-10-04,4.0,23344,33.02,100500,,Warren Wealth Ma0gement & Tax Planning Inc.,Business/Conference Center,True,True
2023-06-07,18:00:00,DN-019014,Amy Christine Novakovich,Frisco,TX,Hampton Inn & Suites Dallas/Frisco North-Fieldhouse USA,taxes_in_retirement_567,46,0.17,8,10,4,139.9,3,0,0.3,256.48,2023-05-24,9.0,51901,32.35,107800,,"Nova Wealth Ma0gement, Inc.",Hotel,True,True
2024-10-16,12:00:00,DN-023468,Keith U. Heritage,Gainesville,FL,Freedom Community Center,taxes_in_retirement_567,60,0.17,10,12,4,40.15,6,1,0.5,277.9,2024-09-25,11.0,51497,31.97,31200,,,Community Center,True,True
2024-10-02,11:00:00,DN-024514,Matthew Kenneth Moll,Land O' Lakes,FL,Land O' Lakes Recreation Complex,taxes_in_retirement_567,24,0.21,5,7,4,83.66,4,0,0.57,94.45,2024-09-17,7.0,26179,31.96,46400,,,Recreation Center,True,True
2023-08-15,11:00:00,DN-020559,Shea Swenson,Mo0,UT,Mo0 City Community Center,social_security_567,24,0.17,4,4,4,64.57,2,0,0.5,129.14,2023-07-31,12.0,28383,31.85,9000,,,Community Center,True,True
2023-04-25,18:30:00,DN-020057,Rick O'Neal,Lee's Summit,MO,Metropolitan Community College - Longview,taxes_in_retirement_567,24,0.33,8,9,4,110.11,4,0,0.44,135.13,2023-04-11,6.0,21000,31.46,41800,"Madison Avenue Securities, LLC","Madison Avenue Securities, LLC",Community College,True,True
2024-03-07,18:00:00,DN-022639,Richard Eugene Miller Jr.,Columbia,SC,Hampton Park Community Center,taxes_in_retirement_567,30,0.13,4,5,4,160.11,2,0,0.4,363.76,2024-02-26,10.0,46352,31.09,56900,"Regulus Fi0ncial Group, LLC","Regulus Fi0ncial Group, LLC",Community Center,True,True
2023-02-28,18:00:00,DN-018420,Bradley D Vey,Dexter,MI,Dexter District Library,taxes_in_retirement_567,24,0.21,5,6,4,70.08,4,1,0.67,114.46,2023-02-07,17.0,67224,30.23,9900,,truAdvice LLC,Library,True,True
2024-04-09,11:00:00,DN-022882,Alexander Haase,Mooresville,NC,Selma Burke Recreation Center,taxes_in_retirement_567,24,0.33,8,10,4,94.79,7,2,0.7,238.4,2024-03-19,14.0,50509,30.03,33200,,,Recreation Center,True,True
2025-03-26,11:00:00,118329,Eric Springer,Ada,MI,Kent District Library - Amy Van Andel Library,taxes_in_retirement_567,45,0.13,6,11,4,204.68,4,1,0.36,250.38,2025-03-12,4.0,27958,29.28,19195,"J.W. Cole Fi0ncial, Inc.","J.W. Cole Advisors, Inc.",Library,True,True
2025-01-29,11:00:00,118748,Shea Swenson,Holladay,UT,Holladay Library,taxes_in_retirement_567,24,0.46,11,11,4,102.0,8,0,0.73,89.17,2025-01-14,9.0,24382,29.28,18235,0,0,Library,True,True
2023-06-22,18:30:00,DN-020303,Dave Alan Bucha0n,Seward,NE,Seward Memorial Library,taxes_in_retirement_567,48,0.08,4,4,4,113.59,3,0,0.75,151.45,2023-06-08,4.0,15638,29.05,4200,,"CreativeOne Wealth, LLC",Library,True,True
2024-09-19,11:00:00,DN-023405,Shea Swenson,South Jordan,UT,Daybreak Community Center,taxes_in_retirement_567,24,0.17,4,5,4,90.6,2,0,0.4,215.96,2024-09-05,13.0,50486,28.71,0,,,Community Center,True,True
2025-02-26,14:00:00,119411,Jason Lee,Westerville,OH,Westerville Public Library,taxes_in_retirement_567,48,0.15,7,9,4,125.92,6,0,0.67,136.48,2025-02-12,3.0,17628,28.57,12343,"Parkland Securities, LLC",SPC,Library,True,True
2024-06-04,18:00:00,DN-023822,Bradley D Vey,Saline,MI,Saline Recreation Center,social_security_567,36,0.17,6,7,4,104.5,2,0,0.29,304.63,2024-05-21,6.0,18310,28.54,19500,,,Library,True,True
2023-03-07,18:00:00,DN-019537,John Blanchard,Lafayette,LA,Zea Rotisserie & Bar,taxes_in_retirement_567,36,0.06,2,2,4,78.7,1,0,0.5,251.84,2023-03-02,6.0,44987,27.99,65700,,,Restaurant,True,True
2024-09-26,11:00:00,DN-022952,Curtis Gordon Macomber,Bethany Beach,DE,Bethany Beach Ocean Suites Residence Inn,taxes_in_retirement_567,24,0.25,6,6,4,138.13,3,0,0.5,179.33,2024-09-10,10.0,30929,26.8,23900,,"Brookstone Wealth Advisors, LLC",Hotel,True,True
2023-08-10,18:00:00,DN-020097,Jo0than Ray Zweifel,Anthem,AZ,Anthem Civic Building,estate_planning_567,24,0.25,6,6,4,100.5,2,0,0.33,231.92,2023-07-25,9.0,41601,24.16,20100,,,Municipal Building,True,True
2023-05-16,18:00:00,DN-019470,Joshua Michael Blaker,Mesa,AZ,Eagles Community Center,estate_planning_567,36,0.14,5,8,4,120.65,1,0,0.13,675.64,2023-05-02,11.0,73404,23.01,170000,,"AE Wealth Ma0gement, LLC",Community Center,True,True
2024-08-13,18:00:00,DN-023516,Alexander Haase,Mooresville,NC,Selma Burke Recreation Center,taxes_in_retirement_567,24,0.25,6,6,4,93.14,1,0,0.17,531.2,2024-07-30,14.0,74055,22.64,28000,,,Recreation Center,True,True
2024-05-23,18:30:00,DN-023613,Dave Alan Bucha0n,Lincoln,NE,Bess Dodson Walt Branch Library,social_security_567,29,0.24,7,8,4,86.12,4,1,0.5,128.17,2024-05-07,13.0,50248,22.28,47900,,"CreativeOne Wealth, LLC",Library,True,True
2024-08-31,10:30:00,DN-024210,Matthew James Edward Goolsby,Wichita,KS,WSU Eugene M. Hughes Metropolitan Complex,taxes_in_retirement_567,48,0.15,7,10,4,122.72,4,0,0.4,150.36,2024-08-19,4.0,27101,18.11,0,,Foundations Investment Advisors LLC,University/College,True,True
2023-09-19,18:00:00,DN-018852,Karen Meyer Holland,Belmont,NC,Gaston College - Kimbrell Campus,taxes_in_retirement_567,24,0.25,6,7,5,101.18,2,0,0.29,261.2,2023-09-13,8.0,28689,45.85,71200,,Coppell Advisory Solutions LLC,University/College,True,True
2025-04-01,18:00:00,122856,Kristen Smigelski,Jupiter,FL,The River Center,taxes_in_retirement_567,36,0.11,4,5,5,70.85,2,0,0.4,170.57,2025-03-25,7.0,43905,41.96,31324,0,0,0ture Center/Preserve,True,True
2023-03-16,18:00:00,DN-017831,Todd William Walker,Tampa,FL,Tampa Museum of Art,taxes_in_retirement_567,46,0.13,6,7,5,106.05,4,0,0.57,153.37,2023-03-01,12.0,54074,39.22,191700,"Centaurus Fi0ncial, Inc.","Centaurus Fi0ncial, Inc.",Museum,True,True
2023-10-04,18:30:00,DN-018664,Shea Swenson,Lehi,UT,Lehi Legacy Center,taxes_in_retirement_567,24,0.13,3,5,5,94.55,0,0,0.0,,2023-09-19,8.0,25068,37.72,43100,,,Community Center,True,True
2023-10-03,18:30:00,DN-018664,Shea Swenson,Lehi,UT,Lehi Legacy Center,taxes_in_retirement_567,24,0.21,5,5,5,94.55,2,0,0.4,236.39,2023-09-19,8.0,25068,37.72,43100,,,Community Center,True,True
2023-11-30,18:00:00,DN-021646,Jeffrey Allen Foley,Oak Park Heights,MN,Stillwater Area High School,taxes_in_retirement_567,36,0.17,6,6,5,102.77,4,0,0.67,131.9,2023-11-21,8.0,38328,37.54,20700,"Gradient Securities, LLC",Paladin Fi0ncial,Public Schools,True,True
2023-05-11,11:00:00,DN-018573,Shea Swenson,Lindon,UT,Lindon Community Center,taxes_in_retirement_567,24,0.21,5,5,5,99.18,5,0,1.0,94.45,2023-04-26,15.0,54005,36.73,50000,,,Community Center,True,True
2023-04-06,18:30:00,DN-017520,Shea Swenson,Lehi,UT,Lehi Legacy Center,taxes_in_retirement_567,24,0.08,2,5,5,113.68,1,0,0.2,568.41,2023-03-22,11.0,44081,36.1,43100,,"Kinetic Investment Ma0gement, Inc.",Community Center,True,True
2024-06-20,11:00:00,DN-023058,Adam Bruno,Cape Coral,FL,"Hampton Inn & Suites - Cape Coral/Fort Myers Area, FL",taxes_in_retirement_567,36,0.28,10,11,5,91.92,8,2,0.73,88.9,2024-06-04,10.0,28647,35.29,99800,,Evolution Wealth Ma0gement Inc.,Hotel,True,True
2023-03-13,18:30:00,DN-017518,Shea Swenson,South Jordan,UT,Daybreak Community Center,taxes_in_retirement_567,24,0.25,6,7,5,171.75,3,0,0.43,255.02,2023-02-27,9.0,34363,34.99,82600,,"Kinetic Investment Ma0gement, Inc.",Community Center,True,True
2023-10-30,18:00:00,DN-021569,Jeffrey Forbes Smith,Castle Rock,CO,DCL - Philip S Miller - Castle Rock Branch,taxes_in_retirement_567,26,0.15,4,5,5,98.12,2,0,0.4,245.3,2023-10-17,11.0,35180,33.47,31700,LPL Fi0ncial LLC,Householder Group Estate and Retirement Specialists LLC,Library,True,True
2024-03-11,18:00:00,DN-022639,Richard Eugene Miller Jr.,Columbia,SC,Hampton Park Community Center,taxes_in_retirement_567,30,0.13,4,5,5,160.11,0,0,0.0,,2024-02-26,10.0,46352,31.09,56900,"Regulus Fi0ncial Group, LLC","Regulus Fi0ncial Group, LLC",Community Center,True,True
2024-02-28,11:00:00,DN-022604,Matthew Seppanen,Heber City,UT,Utah Valley University - Wasatch Campus,taxes_in_retirement_567,24,0.46,11,12,5,159.59,7,0,0.58,148.09,2024-02-14,9.0,36341,30.74,9300,,Newpark Wealth Ma0gement,University/College,True,True
2024-05-23,11:00:00,DN-023515,Marcus George Warren,Louisville,KY,University of Louisville - Shelby Campus,taxes_in_retirement_567,36,0.22,8,12,5,133.05,3,0,0.25,338.41,2024-05-08,11.0,52420,30.46,96300,,Warren Wealth Ma0gement & Tax Planning Inc.,Business/Conference Center,True,True
2025-01-07,18:00:00,118497,Scott Barcomb,Sarasota,FL,Pine Park Education Center,taxes_in_retirement_567,20,0.2,4,5,5,120.92,1,0,0.2,604.61,2024-12-24,4.0,28318,29.89,22468,"Berthel, Fisher & Company Fi0ncial Services, Inc.","Berthel, Fisher & Company Fi0ncial Services, Inc.",Other,True,True
2024-11-14,18:30:00,DN-023385,Eric Thomas Scoggins,Flowery Branch,GA,Mulberry Creek Park and Community Center,taxes_in_retirement_567,24,0.33,8,9,5,78.75,3,2,0.33,227.88,2024-10-29,15.0,66475,29.62,27500,,"First Advisors 0tio0l, LLC",Community Center,True,True
2023-02-15,11:00:00,DN-018210,Jason James Murphy,Romeo,MI,Romeo Masonic Lodge,taxes_in_retirement_567,36,0.14,5,6,5,103.05,3,1,0.5,173.31,2023-02-02,8.0,53310,29.0,13800,LPL Fi0ncial LLC,LPL Fi0ncial LLC,Frater0l/Veteran Organizations,True,True
2025-01-22,18:00:00,118106,Anthony Landi,Palm Harbor,FL,East Lake Community Library,taxes_in_retirement_567,36,0.17,6,7,5,96.8,2,0,0.29,354.32,2025-01-08,7.0,53678,28.85,41303,0,Sterling Bridge Fi0ncial Group LLC,Library,True,True
2024-10-15,11:00:00,DN-022564,Neal Anthony McGrath,Seven Fields,PA,Seven Fields Community Center,taxes_in_retirement_567,48,0.06,3,5,5,103.34,2,0,0.4,258.35,2024-10-01,6.0,18166,28.44,24700,,"CWM, LLC (Carson Wealth Ma0gement Group)",Community Center,True,True
2024-10-23,18:00:00,DN-022860,Anthony Mario Landi,Oldsmar,FL,Oldsmar Public Library,taxes_in_retirement_567,36,0.17,6,7,5,145.05,1,0,0.14,1651.56,2024-10-09,9.0,56545,28.22,71200,,Sterling Bridge Fi0ncial Group LLC,Library,True,True
2023-10-05,18:00:00,DN-021209,Bradley Stephen Senita,Lancaster,OH,Ohio Glass Museum & Glass Studio,taxes_in_retirement_567,24,0.17,4,7,5,94.0,2,0,0.29,277.07,2023-09-20,12.0,53881,27.91,21300,,,Museum,True,True
2024-08-06,18:30:00,DN-023698,Michaela Beatty,Tega Cay,SC,Philip T. Glennon Community Center,taxes_in_retirement_567,36,0.22,8,8,5,128.0,4,0,0.5,367.02,2024-07-23,11.0,50778,27.73,48800,,,Community Center,True,True
2025-02-06,11:00:00,120970,0te Miller,Lawrence,KS,DoubleTree by Hilton Lawrence,taxes_in_retirement_567,24,0.25,6,9,5,93.65,4,0,0.44,147.49,2025-01-24,9.0,49935,26.25,35590,0,0,Hotel,True,True
2024-04-18,11:00:00,DN-023514,Raymond A Panquerne III,Baton Rouge,LA,Baton Rouge Community College - Central Campus,taxes_in_retirement_567,35,0.37,13,13,5,24.62,9,2,0.69,70.15,2024-03-28,10.0,81664,25.03,26200,,Level Four Advisory Services,Community College,True,True
2024-04-18,17:00:00,DN-023514,Raymond A Panquerne III,Baton Rouge,LA,Baton Rouge Community College - Central Campus,taxes_in_retirement_567,35,0.51,18,21,5,24.62,12,2,0.57,84.98,2024-03-28,10.0,81664,25.03,26200,,Level Four Advisory Services,Community College,True,True
2023-06-12,18:30:00,DN-018408,Shea Swenson,Payson,UT,Peteetneet Museum and Cultural Arts Center,social_security_567,24,0.17,4,6,5,71.26,1,0,0.17,394.67,2023-05-29,12.0,34239,24.98,9500,,,Museum,True,True
2024-02-08,18:00:00,DN-022511,Troy Andrew Spooner,Holland,MI,Maatman Community Center,taxes_in_retirement_567,24,0.17,4,5,5,88.56,3,0,0.6,147.6,2024-01-23,12.0,62479,19.84,24900,"Parkland Securities, LLC",,Community Center,True,True
2023-09-22,11:00:00,DN-021193,Christopher Grant Conness,Margate,FL,Leo0rd Weisinger Community Center,taxes_in_retirement_567,36,0.19,7,8,6,134.93,1,0,0.13,1559.2,2023-09-13,10.0,22874,76.69,191000,"Madison Avenue Securities, LLC","Global Wealth Ma0gement Investment Advisory, Inc.",Community Center,True,True
2023-03-20,11:00:00,DN-017517,Shea Swenson,Salt Lake City,UT,Salt Lake City Public Library - Glendale Branch (X),taxes_in_retirement_567,36,0.17,6,6,6,109.63,3,0,0.5,196.45,2023-03-06,12.0,41056,42.72,114400,,"Kinetic Investment Ma0gement, Inc.",Library,True,True
2024-05-28,11:00:00,DN-022973,Thomas Andersen III,Marco Island,FL,Marco Island Library,taxes_in_retirement_567,24,0.13,3,6,6,74.5,3,0,0.5,148.99,2024-05-14,10.0,31794,42.18,20800,,Bison Advisors,Library,True,True
2024-12-03,11:00:00,118202,Brad Senita,Dublin,OH,Dublin Community Recreation Center,taxes_in_retirement_567,36,0.31,11,12,6,91.66,9,0,0.75,81.47,2024-11-19,13.0,53424,37.74,37662,0,Royal Oak Fi0ncial Group,Community Center,True,True
2023-10-17,11:00:00,DN-021522,Paul M. Bailley,Greenville,SC,Augusta Road | Ramsey Family Branch Library,taxes_in_retirement_567,36,0.17,6,8,6,113.44,2,0,0.25,375.68,2023-10-09,8.0,40168,36.71,81100,,Regal Investment Advisors LLC,Library,True,True
2023-10-17,18:00:00,DN-020965,Nicholas Allen Hudson Cantrell,Worcester,MA,Worcester JCC,taxes_in_retirement_567,48,0.13,6,8,6,75.8,3,0,0.38,163.87,2023-10-10,13.0,60753,36.18,56400,,,Community Center,True,True
